Product_name,Prices,Description,Reviews,CPU,RAM,OS,Storage,Display,Warranty,doc
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVID...,52990.0,AMD Ryzen 7 Octa Core Processor8 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Carry-in Warranty,Unknown,AMD Ryzen 7 Octa Core,8 GB,Windows 11,8 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD,39.62 cm,1 Year Carry-in,asus tuf gaming a15 amd ryzen 7 octa core 7435hs - (8 gb/512 gb ssd/windows 11 home/4 gb graphics/nvid... amd ryzen 7 octa core 8 gb 8 gb ddr5 ramwindows 11 home operating system512 gb ssd ₹52990.0 amd ryzen 7 octa core processor8 gb ddr5 ramwindows 11 home operating system512 gb ssd39.62 cm (15.6 inch) display1 year carry-in warranty
HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0129TU Thin and Light ...,35990.0,Intel Core i3 Processor (13th Gen)8 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Carry-in Warranty,Unknown,Intel Core i3,8 GB,Windows 11,8 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD,39.62 cm,1 Year Carry-in,hp laptop intel core i3 13th gen 1315u - (8 gb/512 gb ssd/windows 11 home) 15-fd0129tu thin and light ... intel core i3 8 gb 8 gb ddr4 ramwindows 11 home operating system512 gb ssd ₹35990.0 intel core i3 processor (13th gen)8 gb ddr4 ramwindows 11 home operating system512 gb ssd39.62 cm (15.6 inch) display1 year carry-in warranty
HP Victus AMD Ryzen 7 Octa Core 6800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,78990.0,AMD Ryzen 7 Octa Core Processor16 GB DDR5 RAM64 bit Windows 11 Operating System512 GB SSD40.89 cm (16.1 Inch) Display1 Year Onsite Warranty,Unknown,AMD Ryzen 7 Octa Core,16 GB,Windows 11,16 GB DDR5 RAM64 bit Windows 11 Operating System512 GB SSD,40.89 cm,1 Year,hp victus amd ryzen 7 octa core 6800h - (16 gb/512 gb ssd/windows 11 home/4 gb graphics/nvidia geforce... amd ryzen 7 octa core 16 gb 16 gb ddr5 ram64 bit windows 11 operating system512 gb ssd ₹78990.0 amd ryzen 7 octa core processor16 gb ddr5 ram64 bit windows 11 operating system512 gb ssd40.89 cm (16.1 inch) display1 year onsite warranty
ASUS TUF Gaming F15 with 90WHr Battery Intel H-Series Intel Core i7 12th Gen 12700H - (16 GB/1 TB SSD/...,113999.0,Intel Core i7 Processor (12th Gen)16 GB DDR5 RAMWindows 11 Operating System1 TB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,Unknown,Intel Core i7,16 GB,Windows 11,16 GB DDR5 RAMWindows 11 Operating System1 TB SSD,39.62 cm,1 Year,asus tuf gaming f15 with 90whr battery intel h-series intel core i7 12th gen 12700h - (16 gb/1 tb ssd/... intel core i7 16 gb 16 gb ddr5 ramwindows 11 operating system1 tb ssd ₹113999.0 intel core i7 processor (12th gen)16 gb ddr5 ramwindows 11 operating system1 tb ssd39.62 cm (15.6 inch) display1 year onsite warranty
HP G9 Intel Core i5 13th Gen 1335U with Turbo - (16 GB/512 GB SSD/Windows 11 Pro) B10M4AT#ACJ Business...,56990.0,Intel Core i5 Processor (13th Gen)16 GB LPDDR4X RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMS OFFICE1 year Onsite Warrenty,Unknown,Intel Core i5,16 GB,Windows 11,16 GB LPDDR4X RAM64 bit Windows 11 Operating System512 GB SSD,39.62 cm,No Warranty,hp g9 intel core i5 13th gen 1335u with turbo - (16 gb/512 gb ssd/windows 11 pro) b10m4at#acj business... intel core i5 16 gb 16 gb lpddr4x ram64 bit windows 11 operating system512 gb ssd ₹56990.0 intel core i5 processor (13th gen)16 gb lpddr4x ram64 bit windows 11 operating system512 gb ssd39.62 cm (15.6 inch) displayms office1 year onsite warrenty
Lenovo IdeaPad Gaming 3 Intel Intel Core i5 11th Gen 11300H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Gr...,53394.0,Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Warranty + 1 Year Premium Care + 1 Year ADP,Unknown,Intel Core i5,8 GB,Windows 10,8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD,39.62 cm,1 Year,lenovo ideapad gaming 3 intel intel core i5 11th gen 11300h - (8 gb/512 gb ssd/windows 10 home/4 gb gr... intel core i5 8 gb 8 gb ddr4 ram64 bit windows 10 operating system512 gb ssd ₹53394.0 intel core i5 processor (11th gen)8 gb ddr4 ram64 bit windows 10 operating system512 gb ssd39.62 cm (15.6 inch) display1 year warranty + 1 year premium care + 1 year adp
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Quad Core 5500H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/N...,51430.0,AMD Ryzen 5 Quad Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Carry-in Warranty,Unknown,AMD Ryzen 5 Quad Core,8 GB,Windows 11,8 GB DDR4 RAMWindows 11 Operating System512 GB SSD,39.62 cm,1 Year Carry-in,lenovo ideapad gaming 3 amd ryzen 5 quad core 5500h - (8 gb/512 gb ssd/windows 11 home/4 gb graphics/n... amd ryzen 5 quad core 8 gb 8 gb ddr4 ramwindows 11 operating system512 gb ssd ₹51430.0 amd ryzen 5 quad core processor8 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year carry-in warranty
ASUS Vivobook Pro 15 OLED For Creator AMD Ryzen 5 Hexa Core 5600HS - (16 GB/512 GB SSD/Windows 11 Home...,65499.0,AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,Unknown,AMD Ryzen 5 Hexa Core,16 GB,Windows 11,16 GB DDR4 RAMWindows 11 Operating System512 GB SSD,39.62 cm,1 Year,asus vivobook pro 15 oled for creator amd ryzen 5 hexa core 5600hs - (16 gb/512 gb ssd/windows 11 home... amd ryzen 5 hexa core 16 gb 16 gb ddr4 ramwindows 11 operating system512 gb ssd ₹65499.0 amd ryzen 5 hexa core processor16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
ASUS Vivobook Pro 15 OLED For Creator AMD Ryzen 7 Octa Core 5800HS - (16 GB/512 GB SSD/Windows 11 Home...,65990.0,AMD Ryzen 7 Octa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,Unknown,AMD Ryzen 7 Octa Core,16 GB,Windows 11,16 GB DDR4 RAMWindows 11 Operating System512 GB SSD,39.62 cm,1 Year,asus vivobook pro 15 oled for creator amd ryzen 7 octa core 5800hs - (16 gb/512 gb ssd/windows 11 home... amd ryzen 7 octa core 16 gb 16 gb ddr4 ramwindows 11 operating system512 gb ssd ₹65990.0 amd ryzen 7 octa core processor16 gb ddr4 ramwindows 11 operating system512 gb ssd39.62 cm (15.6 inch) display1 year onsite warranty
HP Victus AMD Ryzen 5 Hexa Core 6600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce ...,78900.0,AMD Ryzen 5 Hexa Core Processor8 GB DDR5 RAM64 bit Windows 11 Operating System512 GB SSD40.89 cm (16.1 inch) Display1 Year Onsite Warranty,Unknown,AMD Ryzen 5 Hexa Core,8 GB,Windows 11,8 GB DDR5 RAM64 bit Windows 11 Operating System512 GB SSD,40.89 cm,1 Year,hp victus amd ryzen 5 hexa core 6600h - (8 gb/512 gb ssd/windows 11 home/4 gb graphics/nvidia geforce ... amd ryzen 5 hexa core 8 gb 8 gb ddr5 ram64 bit windows 11 operating system512 gb ssd ₹78900.0 amd ryzen 5 hexa core processor8 gb ddr5 ram64 bit windows 11 operating system512 gb ssd40.89 cm (16.1 inch) display1 year onsite warranty
